drift_type,severity,severity_value,eod,dpd,ece,model,task,replication
covariate,1,1.0,0.0,0.0,0.7044181705018187,logistic_regression,extended_stay,3
covariate,1,1.0,0.32962512888981443,0.3198603931943148,0.2673785514856023,xgboost,extended_stay,3
covariate,1,1.0,0.0,0.0,0.7044181702153125,mlp,extended_stay,3
covariate,1,1.0,0.24361653250068013,0.12588028331683332,0.23895302929334367,logistic_regression,med_change,3
covariate,1,1.0,0.00531696925978975,0.02399930506992587,0.0044757203980190785,xgboost,med_change,3
covariate,1,1.0,0.013464575551198125,0.006967835544442269,0.4515103737259407,mlp,med_change,3
covariate,2,1.5,0.34218714426652497,0.33043070533860275,0.7829803962658677,logistic_regression,readmit_30,3
covariate,2,1.5,0.03727361346262378,0.016442676904102636,0.10044980842563725,xgboost,readmit_30,3
covariate,2,1.5,0.0,0.0,0.1101198013721237,mlp,readmit_30,3
covariate,2,1.5,0.0,0.0,0.7044181705040444,logistic_regression,extended_stay,3
covariate,2,1.5,0.5572458591607213,0.5104847449885483,0.40006376222452916,xgboost,extended_stay,3
covariate,2,1.5,0.0,0.0,0.7044181705036237,mlp,extended_stay,3
covariate,2,1.5,0.44301360399077483,0.23457142623324073,0.14887575095471045,logistic_regression,med_change,3
covariate,2,1.5,0.00531696925978975,0.02399930506992587,0.0044631530474535264,xgboost,med_change,3
covariate,2,1.5,0.015617891658002602,0.008004964770743866,0.45015407495061244,mlp,med_change,3
label,0,0.15,0.024934159419466084,0.000620943696867049,0.4357180716897549,logistic_regression,readmit_30,3
label,0,0.15,0.01486386631046439,0.00441197787900411,0.03428788069427768,xgboost,readmit_30,3
label,0,0.15,0.0,0.0,0.13452686278311282,mlp,readmit_30,3
label,0,0.15,0.0,0.0,0.8499636209589188,logistic_regression,extended_stay,3
label,0,0.15,0.051470044059384046,0.04106057755864101,0.14664817661482799,xgboost,extended_stay,3
label,0,0.15,0.0,0.0,0.8498960275830372,mlp,extended_stay,3
label,0,0.15,0.07513427840047344,2.7204756180565504e-05,0.13752892663656535,logistic_regression,med_change,3
label,0,0.15,0.38775012201073694,0.02399930506992587,0.3298978934113189,xgboost,med_change,3
label,0,0.15,0.01171303074670571,0.0040638737107977965,0.1356713557234012,mlp,med_change,3
label,1,0.2,0.03703651073343561,0.000620943696867049,0.38580909931809687,logistic_regression,readmit_30,3
label,1,0.2,0.011406051649330225,0.00441197787900411,0.08035301997889821,xgboost,readmit_30,3
label,1,0.2,0.0,0.0,0.18451649149084978,mlp,readmit_30,3
label,1,0.2,0.0,0.0,0.7999739922511818,logistic_regression,extended_stay,3
label,1,0.2,0.07947834281457072,0.04106057755864101,0.09746556445875869,xgboost,extended_stay,3
label,1,0.2,0.0,0.0,0.7999063988753001,mlp,extended_stay,3
label,1,0.2,0.06514363308419896,2.7204756180565504e-05,0.15669209072994894,logistic_regression,med_change,3
label,1,0.2,0.3497536945812808,0.02399930506992587,0.28025340576387836,xgboost,med_change,3
label,1,0.2,0.01610127091683299,0.0040638737107977965,0.18034268743544626,mlp,med_change,3
label,2,0.25,0.04927717463385051,0.000620943696867049,0.33581947061035994,logistic_regression,readmit_30,3
label,2,0.25,0.006011860777960933,0.00441197787900411,0.12411987332882561,xgboost,readmit_30,3
label,2,0.25,0.0,0.0,0.23450612019858677,mlp,readmit_30,3
label,2,0.25,0.0,0.0,0.7499843635434449,logistic_regression,extended_stay,3
label,2,0.25,0.06391817683946699,0.04106057755864101,0.05535811787091382,xgboost,extended_stay,3
label,2,0.25,0.0,0.0,0.7499167701675632,mlp,extended_stay,3
label,2,0.25,0.05935224356370869,2.7204756180565504e-05,0.19133220688842228,logistic_regression,med_change,3
label,2,0.25,0.30724557522123896,0.02399930506992587,0.23013658709905221,xgboost,med_change,3
label,2,0.25,0.009402654867256638,0.0040638737107977965,0.2298734087657013,mlp,med_change,3
